id,geometry
21,"POLYGON ((108.22195966945682 16.06054485994254, 108.22207109178733 16.06045871506967, 108.2220100392152 16.06040623070436, 108.22197616724662 16.060440485179264, 108.2219510506093 16.060440090797517, 108.22189813906391 16.06048697978461, 108.22195966945682 16.06054485994254))"
22,"POLYGON ((108.22168849395518 16.06073434588852, 108.22186153383193 16.060742959374444, 108.22185159163135 16.060471341640323, 108.22183112708335 16.060471386729077, 108.22169368956293 16.060570631082793, 108.22168849395518 16.06073434588852))"
23,"POLYGON ((108.22220317794684 16.06045707466365, 108.22223098444479 16.06041473830784, 108.22216576606735 16.060370808128702, 108.22213887492153 16.06040684617541, 108.22220317794684 16.06045707466365))"
24,"POLYGON ((108.22188784849612 16.060462267062018, 108.22199742630279 16.06038287230912, 108.22193964327403 16.06033622726496, 108.22190621520957 16.060361486060568, 108.22187639773853 16.060339964506166, 108.22182443760178 16.06039584606921, 108.22188784849612 16.060462267062018))"
25,"POLYGON ((108.22207564421323 16.060416879726205, 108.22214249818661 16.06036546261363, 108.22210147156217 16.06032417748514, 108.22203462395254 16.060378292978008, 108.22207564421323 16.060416879726205))"
26,"POLYGON ((108.22212091469517 16.06028545745555, 108.2221692132845 16.0602547690277, 108.22211606431632 16.06020091806151, 108.22207704870198 16.060223490793703, 108.22212091469517 16.06028545745555))"
27,"POLYGON ((108.22160114993481 16.06038014745123, 108.22164209596252 16.060387253031312, 108.2216660397924 16.060284660826156, 108.22161952526099 16.060282964327513, 108.22160114993481 16.06038014745123))"
28,"POLYGON ((108.2215632593141 16.06048546876726, 108.22161535301493 16.060486253521482, 108.22161713927999 16.06045476817117, 108.22160408249093 16.0604404054198, 108.22160395538305 16.060386437556637, 108.2215676752164 16.060385617978604, 108.2215632593141 16.06048546876726))"
29,"POLYGON ((108.22166236134306 16.06030265830871, 108.22177408354219 16.060343787797898, 108.22180091964417 16.060284363721603, 108.22178045511514 16.060284408805014, 108.22177577865519 16.060273625478473, 108.2217273634535 16.060254843278276, 108.22174027826217 16.06020894190879, 108.22172903951204 16.060176585778716, 108.22168994546044 16.06016587825891, 108.22166226176378 16.0602603834824, 108.22167621273158 16.060259453287287, 108.22166236134306 16.06030265830871))"
30,"POLYGON ((108.2216420451154 16.06036566588608, 108.22166630039662 16.06039529494542, 108.22165515910676 16.060404314173574, 108.22167010809143 16.060432164789997, 108.22167014199167 16.060446556220022, 108.22173426903478 16.06042212930926, 108.22172118469284 16.060396073528352, 108.22172859032064 16.060380766242226, 108.22167826383348 16.060340400984536, 108.2216420451154 16.06036566588608))"
31,"POLYGON ((108.22190421065062 16.060300326583977, 108.22194138496812 16.0602858531615, 108.22187047100023 16.060193364112518, 108.22186312685841 16.060234755870034, 108.22185197710819 16.06024017725059, 108.22190421065062 16.060300326583977))"
32,"POLYGON ((108.22193762386576 16.060268771538336, 108.22197477061346 16.060242605073665, 108.22194774377004 16.060221077378543, 108.22194398054856 16.060203096291012, 108.22191974221006 16.060180662977988, 108.2219123111662 16.060185176698027, 108.22189274929652 16.060173526705338, 108.22187416850585 16.060183461806115, 108.22193762386576 16.060268771538336))"
33,"POLYGON ((108.22230710224879 16.060347110275696, 108.2223303001146 16.060322773450963, 108.2222399131582 16.060256412077354, 108.22221487184652 16.06028794870924, 108.22230710224879 16.060347110275696))"
34,"POLYGON ((108.22224825743194 16.060244700580345, 108.22228447604915 16.060219435578624, 108.22223693374725 16.06017636590641, 108.22225178096932 16.06016104219368, 108.22221351952722 16.06010895735968, 108.22216615754745 16.06014234213896, 108.22224825743194 16.060244700580345))"
35,"POLYGON ((108.22235303754414 16.060103252869325, 108.22240684513334 16.060041970292854, 108.22238168080374 16.06002133801315, 108.22234905574774 16.059992626964622, 108.22233511753302 16.05999895398896, 108.22231098525644 16.060021493936734, 108.2223008145308 16.06004760096817, 108.22235303754414 16.060103252869325))"
36,"POLYGON ((108.22270545339998 16.060440675611034, 108.22278341234697 16.06036494812918, 108.22273864353484 16.060314676698038, 108.22265327266399 16.060403013087555, 108.22270545339998 16.060440675611034))"
37,"POLYGON ((108.22119741186218 16.06076420998319, 108.22124392227077 16.06076410764174, 108.2212511183732 16.06065975339495, 108.22119158084797 16.060658085462535, 108.22119741186218 16.06076420998319))"
